评论,时间,点赞数,标签
好家伙，我写的文章一半内容都是ai写的[大笑],2023-02-10 16:17:04,9,0
大部分水论文都会认为是AI，如果之后大学审核加个这个6成论文要没[吃瓜],2023-02-12 15:22:51,4,0
自己润色一下不就行了[捂脸]另外自己写的也有可能被误判，按你说的，只要润色的时候往里面加梗就行了？,2023-02-12 08:04:34,3,0
那还可以进行对抗训练啊，生成模型还是更胜一筹啊,2023-02-12 06:15:04,3,0
还是缺少针对训练[doge],2023-02-11 21:58:07,1,0
我所谓，我有text rephraser,2023-02-11 20:12:13,1,0
背后2w印度人的工厂。,2023-02-11 20:14:24,1,0
无所吊谓我们学校老师网慢,2023-02-11 19:18:43,1,0
[doge]然后新增职业，洗ai文章专员,2023-02-11 19:12:38,1,0
快进到查A率,2023-02-11 18:38:53,1,0
看我的动态，🈶免费🆓使用的方法[脱单doge],2023-03-10 11:49:31,1,0
它说鲁迅的文章是AI写的，看来鲁迅这小子作弊,2023-02-22 05:34:46,1,0
稍微专业一点带个拉丁文或者梵文的AI解说，困惑度直接7000多,2023-02-15 17:00:44,1,0
鉴定为纯纯的查重[滑稽]gt的文本本质上就是爬虫来的复制粘贴，他估计反向爬文本来查重罢了[doge]最后其实p用没有，毕竟最后这些ai爬的文本都是人写的[吃瓜],2023-02-22 13:02:29,1,0
屁用没有，你随便找本书内容复制粘贴进去他都说这是AI写的,2023-02-19 11:15:59,1,0
GAN一下,2023-02-21 04:54:00,1,0
那chatgpt后续开始接收新的训练数据怎么办,2023-02-19 11:41:44,1,0
吊用没,2023-02-17 13:45:14,1,0
那我把AI写的每个句子改上一两个字呢[脱单doge],2023-02-15 10:18:40,1,0
这玩意本身就没啥用，刚试了，高二写的作文，八百字，几乎满江红[辣眼睛],2023-02-19 12:15:52,1,0
确实文字很难判断,2023-02-11 09:38:41,0,0
B站特色，复制之后句子末端会有一个隐形空格，删掉就行了,2023-02-12 07:23:29,32,0
回复 @不吃糖的猫awa :谢谢！,2023-02-19 13:05:56,0,0
把我写的论文沾了一段过去 上面说这像是一个人写的，下面全段标黄说是AI[辣眼睛],2023-02-27 14:57:06,0,0
B站特色，复制之后句子末端会有一个隐形空格，删掉就行了,2023-02-12 07:23:29,32,0
回复 @不吃糖的猫awa :谢谢！,2023-02-19 13:05:56,0,0
把我写的论文沾了一段过去 上面说这像是一个人写的，下面全段标黄说是AI[辣眼睛],2023-02-27 14:57:06,0,0
