评论,时间,点赞数,标签
为什么压缩完的文件夹里找不到哪个打开,2023-03-04 09:45:21,1,0
"Github原址: https://github.com/dmMaze/BallonsTranslator
软件下载地址: 
方式1: 
https://...",2023-02-23 12:10:15,2,0
手机上可以用Tap Translate Screen，但为什么日文都喜欢竖着，翻译软件难受我也难受,2023-03-12 10:38:23,1,0
能清除文字也不错,2023-03-07 11:18:08,1,0
 🤚很抱歉打断你的浏览，但是宇宙最强本子 人付き合いが苦手な未亡人の雪女さんと呪いの指輪 即将于今天推出第二本新作，请确保你的网络畅通以便准时阅览,2023-02-23 01:05:55,4,0
还好，这个准确率还威胁不到正统烤肉man,2023-02-23 16:46:10,2,0
@九九九九九九九酱,2023-03-06 07:43:45,1,0
这个不能百分百翻译准确或者本土化，所以还是需要汉化组，不过我觉得很好的是，这个方便了汉化组嵌字[妙啊],2023-03-06 09:13:39,1,0
这机翻太拉了，不如自己看,2023-02-23 07:37:48,2,0
你怎么知道雪女出二了,2023-02-23 00:07:57,5,0
这下人人都能当个人汉化组了,2023-02-23 02:33:08,2,0
适合翻字多的漫画，字少能自己看，字太多真的看得头皮发麻[笑哭],2023-02-23 02:39:49,4,0
wallpaper engine名字给一个,2023-03-15 01:55:08,0,0
大佬有没有文本自动上标点符号的，网上找了一下资源太少，都是会爬虫的人自己用的。。。,2023-03-14 12:19:36,0,0
想问问闪退是什么情况😭,2023-02-25 06:12:57,1,0
怪不得网上那些机翻漫画那么多，应该就是up这种软件翻译出来的，连镶字都那么像[笑哭],2023-03-01 16:00:33,1,0
"免费漫画生肉翻译神器BallonTranslator

1、下载方式
01:24 下载方式
Github上去下载
2、翻译展示
02:22 翻译展示",2023-03-09 01:48:29,0,0
如果能将文字独立图层保存为psd就完美了,2023-02-26 08:15:58,1,0
正好翻雪女2[加油][加油][加油],2023-02-23 00:57:08,3,0
日文不是问题，关键在英文，还全大写[tv_笑哭],2023-02-25 15:34:45,1,0
安装完就是4个多G吗？好大[笑哭],2023-03-02 14:30:38,0,0
回复 @VOIA14 :为什么我打不开啊[大哭]一点开闪出来又没了,2023-02-26 06:46:24,0,0
"balloontranslator并未内置这俩 内置了的翻译器: 谷歌翻译, 彩云, papaga, DeepL和Sugoi; 需要额外新的翻译器 至于加别的翻译器 ""如果你有python编程基础, 知道怎么用python调用需要的翻译器api或翻译模型, 按如下步骤实现一个类写进dl/translators.init.py 里就能直接在程序里用.""
参考页面: https://github.com/dmMaze/BallonsTranslator/blob/master/doc/%E5%8A%A0%E5%88%AB%E7%9A%84%E7%BF%BB%E8%AF%91%E5%99%A8.md",2023-02-23 13:10:21,0,0
这软件你翻译个三四次弹广告吗，我的咋总弹广告。。,2023-03-25 04:18:17,0,0
回复 @极灰 :破解版，vip都打不开[doge],2023-03-25 04:43:27,1,0
看完了，确实需要翻译,2023-02-23 01:31:15,0,0
是的,2023-02-23 16:51:22,0,0
[星星眼],2023-03-08 05:45:44,0,0
或许应该考虑到大多数人都没这个水平/能力啃下生肉 机翻虽不好 但起码能稍微看下,2023-02-23 11:00:25,1,0
wake up,2023-03-15 03:31:48,0,0
自动上标点符号？指的是自动断句还是什么？,2023-03-15 03:33:35,0,0
回复 @醉清风杨 :就是有的轻小说没有，。结尾,2023-03-15 04:01:09,0,0
为啥要单独导出嵌字层？其实现在inpainted目录下的抹了字的图片自己用别的手段，比如PS修改替换后可以被软件加载，和嵌字一起渲染成成品,2023-02-26 11:13:05,0,0
汉化组不是已经翻译好了吗？你还用这工具干嘛,2023-02-23 03:37:48,0,0
"大佬，已经三连点赞加关注了。

我想问一下，英文的PDF书籍能翻译吗

感谢",2023-02-23 03:15:43,0,0
好东西！,2023-02-23 03:40:27,0,0
回复 @苏友梅 :不要太期待机翻软件，机翻经常会不太准确[吃瓜],2023-02-23 06:40:15,10,0
"大佬，已经三连点赞加关注了。

我想问一下，英文的PDF书籍能翻译吗

感谢",2023-02-23 03:15:43,0,0
好东西！,2023-02-23 03:40:27,0,0
回复 @苏友梅 :不要太期待机翻软件，机翻经常会不太准确[吃瓜],2023-02-23 06:40:15,10,0
